expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
踏む,ふむ,"to step on, to tread on",JLPT JLPT_N4,MD)?c2/f%j,"เหยียบย่ำ, ย่ำ, ก้าวเหยียบ",靴を履いて、外を歩きます。,ใส่รองเท้าแล้วเดินข้างนอก
～区,～く,"~ district, ~ ward, ~ borough",JLPT JLPT_N4,jyNlO!<_rh,"~ เขต ~ วอร์ด ~ บอรอห์, ~ แขวง, ~ อำเภอ, ~ ตำบล",これは新宿区です。,นี่คือเขตชินจูกุ
すっと,すっと,"straight, quickly",JLPT JLPT_N4,k|7>>bJ_;p,"ตรงไป เร็ว ๆ, ทันที, พลัน, ฉับพลัน",彼はすっと部屋に入りました。,เขาตรงเข้าไปในห้องทันที
盗む,ぬすむ,to steal; to rob,Genki Genki_Ln.21 JLPT JLPT_N4,yRRr.o{S!G,"ขโมย; ปล้น, ลัก, ฉก, ล้วง",財布を盗まれないように気をつけてください。,โปรดระวังอย่าให้กระเป๋าสตางค์ถูกขโมย
大抵,たいてい,"generally, usually",Genki Genki_Ln.3 JLPT JLPT_N4,F4RWhn9KV7,"โดยทั่วไป โดยปกติ, โดยปรกติ, ส่วนมาก, ส่วนใหญ่",大抵、雨の日はうちにいます。,โดยปกติ วันที่ฝนตก ฉันจะอยู่บ้าน
とうとう,とうとう,"finally, at last",JLPT JLPT_N4,b~a!BAlss],"ในที่สุด ในที่สุด, จนท้ายที่สุด, ในบั้นปลาย, ท้ายที่สุด",とうとう試験に合格しました。,ในที่สุดก็สอบผ่าน
ガソリン,ガソリン,"gasoline, petrol",Genki Genki_Ln.21 JLPT JLPT_N4,DtjnF2f-}S,"น้ำมันเบนซิน, แก๊สโซลีน, น้ำมัน",車にガソリンを入れました。,เติมน้ำมันเบนซินให้รถแล้ว
鳴る,なる,"to sound, to ring (v.i.)",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,N2XM.u#*9T,"ส่งเสียงดัง, ส่งเสียงกังวาน (กริยาไม่ต้องการกรรม), ดังขึ้น, บรรเลง",電話が鳴っています。,โทรศัพท์กำลังดัง
しっかり,しっかり,"firmly, steady",JLPT JLPT_N4,s1@<ogH]|l,"มั่นคง แน่วแน่, หนักแน่น, ไม่สั่นคลอน, อย่างมั่นคง",この椅子はしっかりしています。,เก้าอี้ตัวนี้แข็งแรงดี
生きる,いきる,to live,JLPT JLPT_N4,PsYPR<^eS},"เพื่อที่จะมีชีวิตอยู่, มีชีวิต, ดำรงชีวิต, อาศัยอยู่",人間は楽しく生きるべきです。,มนุษย์ควรมีชีวิตอยู่อย่างมีความสุข
苦い,にがい,bitter,JLPT JLPT_N4,s7onh_qmu>,"ขม, รสขม, เฝื่อน, ฝาด",この薬は苦いです。,ยาตัวนี้ขม
沸く,わく,"to boil, to grow hot",JLPT JLPT_N4,PG:x_[8:n{,"เดือด, ร้อนขึ้น, พลุ่ง, ปะทุ",お湯が沸きました。,น้ำร้อนเดือดแล้ว
意見,いけん,"opinion, view, idea",JLPT JLPT_N4,rm|oi`$1Dg,"ความคิดเห็น มุมมอง แนวคิด, ข้อคิดเห็น, ทัศนคติ, ทัศนะ",あなたの意見を聞かせてください。,ช่วยบอกความเห็นของคุณให้ฉันฟังหน่อย
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely",JLPT JLPT_N4,uKv@@b~bnv,"อย่างที่ฉันคิดไว้ อย่างแน่นอน, ตามที่คิด, เป็นไปตามคาด, อย่างแท้จริง",やはり、彼は来ませんでした。,อย่างที่คิดไว้ เขาไม่ได้มา
漫画,まんが,"comic (book), cartoon",Genki Genki_Ln.14 JLPT JLPT_N4,l|R^YmR+|c,"การ์ตูน (หนังสือการ์ตูน), การ์ตูน, ภาพยนตร์การ์ตูน, หนังสือการ์ตูน",漫画を読むのが好きです。,ชอบอ่านการ์ตูน
