expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
〜 (まる) ごと,〜 (まる) ごと,"whole ~, all of ~",JLPT JLPT_2,Ja%uZn!l8Y,"ทั้งหมด ~, ของทั้งหมด ~, ทั้งสิ้น, ทั้งปวง",りんごを丸ごと一つ食べました。,ฉันกินแอปเปิ้ลทั้งลูก
(かさを～) さす,(かさを～) さす,to open; hold (an umbrella),JLPT JLPT_2 MediaMissing,g~n;/-.8!D,"เปิด; ถือ (ร่ม), กาง (ร่ม), ยก (ร่ม), ค้ำ (ร่ม)",雨が降るので、傘をさします。,เพราะฝนตก ฉันจะกางร่ม
〜(日本) 式,～(にほん) しき,"custom,",JLPT JLPT_2 MediaMissing,no!e4=rwH(,"กำหนดเอง, แบบเฉพาะ, เฉพาะตัว, ปรับแต่ง",これは日本式のお風呂です。,นี่คืออ่างอาบน้ำแบบญี่ปุ่น
～位,～い,~th place,JLPT JLPT_2,G*#PQ&xZe;,"อันดับที่ ~, ตำแหน่งที่ ~, ลำดับที่ ~, ที่ ~",彼はクラスで一番の成績です。,เขาได้คะแนนเป็นอันดับหนึ่งในชั้นเรียน
～いち (にほんいち),～いち (にほんいち),No. 1 ~ (in),JLPT JLPT_2,GmGAkPKtVr,"หมายเลข 1 ~ (ใน), อันดับหนึ่ง ~, ที่หนึ่ง ~, ยอดเยี่ยม ~",このケーキは日本一おいしいです。,เค้กนี้อร่อยที่สุดในญี่ปุ่น
～園,～えん,~ garden (especially man made),JLPT JLPT_2,z)[Ulzmb?X,"~ สวน (โดยเฉพาะสวนที่มนุษย์สร้างขึ้น), ~ อุทยาน, ~ พฤกษชาติ, ~ สถานที่เพาะเลี้ยง",子供たちは動物園で楽しんでいます。,เด็กๆ กำลังสนุกสนานที่สวนสัตว์
～おしまい (おわり),～おしまい (おわり),end up ~,JLPT JLPT_2,B07i&;klYX,"สุดท้ายแล้ว ~, จบลงที่ ~, ลงเอยที่ ~, สิ้นสุดที่ ~",これで今日の仕事はおしまいです。,การทำงานวันนี้จบลงเท่านี้
～日,～か,counter for days,JLPT JLPT_2,rDuT4FxT)r,"นับวัน, จำนวนวัน, วันที่, วัน",あと二日、休みがあります。,เหลือวันหยุดอีกสองวัน
～下,～か,under ~,JLPT JLPT_2,fbg-jA#f{K,"ภายใต้ ~, ใต้ ~, ใต้บังคับบัญชา ~, โดย ~",先生の下で勉強しています。,ฉันกำลังเรียนอยู่ภายใต้การสอนของอาจารย์
～化,～か,action of making something,JLPT JLPT_2,jA{o6okAW~,"การกระทำของการสร้างบางสิ่งบางอย่าง, การทำให้เป็น ~, การเปลี่ยนเป็น ~, การสร้าง ~",これは新しい技術です。,นี่คือเทคโนโลยีใหม่
～科,～か,"family, group, course",JLPT JLPT_2,G*u5fLwYB~,"ครอบครัว กลุ่ม หลักสูตร, ตระกูล, หมวด, สาขา",私は医学科に進みたいです。,ฉันอยากเข้าเรียนคณะแพทยศาสตร์
～歌,～か,song of ~,JLPT JLPT_2,b!q>|EX?]V,"เพลงของ ~, บทเพลงของ ~, ลำนำของ ~, เพลงประจำ ~",これは学校の歌です。,นี่คือเพลงของโรงเรียน
～画,～が,"picture, painting",JLPT_1 JLPT JLPT_2,A:x.SahEv8,"ภาพวาด, ภาพเขียน, รูปภาพ, จิตรกรรม",この絵はとてもきれいです。,ภาพวาดนี้สวยมาก
～外,～がい,out of ~,JLPT JLPT_2,v.D6N)Jn-M,"จาก ~, ภายนอก ~, นอกเหนือ ~, นอก ~",これは私の範囲外です。,นี่อยู่นอกเหนือขอบเขตของฉัน
～難い,～がたい,hard (difficult) to do ~,JLPT_1 JLPT JLPT_2,q5_^x`K^C~,"ยาก (ลำบาก) ที่จะทำ ~, ยากที่จะ ~, ทำได้ยาก ~, กระทำยาก ~",この問題は解きがたいです。,ปัญหานี้แก้ได้ยาก
～がち,～がち,tend to do ~,JLPT JLPT_2,"HC!2|,O=Uv","มักจะทำแบบนั้น ~, มีแนวโน้มที่จะ ~, โน้มเอียงที่จะ ~, มักทำ ~",彼は遅刻しがちです。,เขามักจะมาสาย
～刊,～かん,"~ issued (magazine, newspaper)",JLPT JLPT_2,J]XIoil*2L,"~ ออกจำหน่าย (นิตยสาร, หนังสือพิมพ์), ~ ฉบับ, ~ ตีพิมพ์",この雑誌は毎月刊です。,นิตยสารเล่มนี้ออกรายเดือน
～間,～かん,"between, during",JLPT JLPT_2,Qm1qWlocEP,"ระหว่าง, ในช่วง, ระยะเวลา, ช่องว่าง",授業の間、静かにしてください。,กรุณาเงียบระหว่างชั่วโมงเรียน
～巻,～かん,volume,JLPT JLPT_2,K19uzsMb_o,"ปริมาณ, เล่ม, ฉบับ, จำนวน",この本は三巻まで読みました。,ฉันอ่านหนังสือเล่มนี้ถึงเล่ม 3 แล้ว
～館,～かん,"~ hall, ~ building",JLPT JLPT_2,c3uPE$j0G@,"~ ห้องโถง ~ อาคาร, ~ หอประชุม, ~ โรง, ~ ตึก",美術館はとても大きいです。,พิพิธภัณฑ์ศิลปะใหญ่มาก
～感,～かん,"feeling, sense, impression",JLPT JLPT_2,gv?{M:3Nl+,"ความรู้สึก สัมผัส ความประทับใจ, อารมณ์, ความรู้สึกนึกคิด, เจตคติ",嬉しい気持ちでいっぱいです。,ฉันเต็มไปด้วยความรู้สึกยินดี
～期,～き,"~age, ~period",JLPT JLPT_2,kCfW%K6Q|D,"~อายุ, ~ช่วงเวลา, ~ ยุค, ~ สมัย",これは子供の期です。,นี่คือช่วงวัยเด็ก
～器,～き,"device, equipment",JLPT JLPT_2,u+~Y!_LNSC,"อุปกรณ์, เครื่องใช้, เครื่องมือ, ภาชนะ",この器はきれいです。,ภาชนะนี้สวยงาม
～機,～き,machine,JLPT JLPT_2,k3|o@N56?1,"เครื่องจักร, กลไก, อุปกรณ์, เครื่องยนต์",これは新しい機械です。,นี่คือเครื่องจักรใหม่
～気味,～ぎみ,slightly ~,JLPT JLPT_2,H[Vo.[BxaR,"เล็กน้อย ~, ออกจะ ~, ค่อนข้าง ~, นิดหน่อย ~",最近、少し風邪気味です。,ช่วงนี้เป็นหวัดนิดหน่อย
～教,～きょう,religion,JLPT JLPT_2,"vbb{{,/z36","ศาสนา, ความเชื่อ, ลัทธิ, คำสอน",これはキリスト教です。,นี่คือศาสนาคริสต์
～行,～ぎょう,"line, row",JLPT JLPT_2,E5TA@2@XRb,"แถว, เส้น, คิว, แนวนอน",この行は長いです。,แถวนี้ยาว
～業,～ぎょう,type of business,JLPT JLPT_2,r#B%nh/j8;,"ประเภทธุรกิจ, อุตสาหกรรม, อาชีพ, กิจการ",彼はサービス業で働いています。,เขาทำงานในธุรกิจบริการ
～きる,～きる,"nevertheless, to carry through",JLPT JLPT_2,lY)YcCGPox,"อย่างไรก็ตาม เพื่อดำเนินการให้สำเร็จ, ทำจนจบ, ทำเสร็จสิ้น, ทำให้สำเร็จ",最後まで頑張ってください。,พยายามจนถึงที่สุดนะครับ
～切れ,～きれ,out of ~,JLPT JLPT_2,BI!R8>v)8r,"จาก ~, หมด ~, ขาดแคลน ~, ไม่เหลือ ~",パンが切れました。,ขนมปังหมดแล้ว
～口,～くち,"~ opening; ~ entrance, ~ exit",JLPT JLPT_2,pT(<V!lc5R,"~ ช่องเปิด; ~ ทางเข้า, ~ ทางออก, ~ ปากทาง, ~ จุดเข้า",この店は入り口が狭いです。,ร้านนี้มีทางเข้าแคบ
～家,～け,"~'s family, the house of ~",JLPT JLPT_2,OVLMa7l[Gn,"ครอบครัวของ ~ บ้านของ ~, ตระกูลของ ~, วงศ์ของ ~, สกุลของ ~",これは田中さんの家です。,นี่คือบ้านของคุณทานากะ
～形,～けい,shape of ~,JLPT JLPT_2,M3p*&+Wj>%,"รูปร่างของ ~, แบบของ ~, ลักษณะของ ~, โครงสร้างของ ~",この形は丸いです。,รูปร่างนี้กลม
～系,～けい,"~ system, ~ lineage, ~ group",JLPT_1 JLPT JLPT_2,AgNe/GkjZM,"~ ระบบ ~ วงศ์ตระกูล ~ กลุ่ม, ~ ประเภท, ~ ชนิด, ~ สายเลือด",これは新しいシステムです。,นี่คือระบบใหม่
～圏,～けん,"bloc, sphere, area",JLPT_1 JLPT JLPT_2,Ddk.oC`&.J,"บล็อก, ทรงกลม, พื้นที่, ขอบเขต",この地域は安全圏です。,ย่านนี้อยู่ในเขตปลอดภัย
