expression,reading,meaning,tags,guid,ความหมาย,jp_sentence,th_sentence
ああ,ああ,"Ah!, Oh!",JLPT JLPT_4 JLPT_5 JLPT_N5,HI-.Ij?HS~,"อ่า, โอ้, อู๊ย, เอ๊ะ",ああ、これはきれいな花ですね。,อ่า ดอกไม้นี้สวยจังเลยนะคะ
会う,あう,"to meet, to see",JLPT JLPT_3 JLPT_5 JLPT_N5,kupB!kWE}<,"พบ, เจอ, ปะ, เห็น",明日、友達に会います。,พรุ่งนี้ฉันจะไปพบเพื่อน
青,あお,blue,JLPT JLPT_5 JLPT_N5,HB)I{+$j.i,"สีฟ้า, สีน้ำเงิน, สีคราม, สีขาบ",空は青いです。,ท้องฟ้าเป็นสีฟ้า
青い,あおい,blue,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,q(A)lc.Kr8,"สีฟ้า, สีน้ำเงิน, สีคราม, สีขาบ",青い鳥がいます。,มีนกสีฟ้าอยู่
赤,あか,red,JLPT JLPT_5 JLPT_N5,y!Fn9IOz@J,"สีแดง, แดง, สีชาด, สีเพลิง",このリンゴは赤です。,แอปเปิ้ลลูกนี้เป็นสีแดง
赤い,あかい,red,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,D`aKGX2j!#,"สีแดง, แดง, สีชาด, สีเพลิง",赤い車が来ました。,รถสีแดงมาแล้ว
明るい,あかるい,bright (in reference to personality or weather); cheerful,Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,m>)z8|k.>J,"สดใส, ร่าเริง, แจ่มใส, เบิกบาน",部屋が明るいです。,ห้องสว่าง
秋,あき,fall (season),Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,H~$iS3{X?*,"ฤดูใบไม้ร่วง, ฤดูสารท, สรทกาล, ฤดูศรัท",秋は涼しいです。,ฤดูใบไม้ร่วงอากาศเย็นสบาย
開く,あく,"to open, to become open",JLPT JLPT_3 JLPT_5 JLPT_N5,m[4![DH*c~,"เปิด, แง้ม, อ้า, บาน",ドアが開いています。,ประตูเปิดอยู่
開ける,あける,to open (v.t.),Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,y.#AVx@-k>,"เปิด, แง้ม, อ้า, ไข",窓を開けてください。,กรุณาเปิดหน้าต่าง
